MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
58162.18,0.00,43.74,0.03,14.43,0.01,4.51,0.01
58164.22,2.00,43.70,0.03,14.42,0.01,4.50,0.01
58166.26,4.00,43.66,0.02,14.40,0.01,4.50,0.01
58169.32,7.00,43.61,0.02,14.38,0.01,4.50,0.01
58172.38,10.00,43.57,0.02,14.37,0.01,4.49,0.01
58174.42,12.00,43.54,0.02,14.36,0.01,4.49,0.01
58175.45,13.00,43.53,0.02,14.36,0.01,4.49,0.01
58178.51,16.00,43.49,0.02,14.34,0.01,4.49,0.01
58181.57,19.00,43.46,0.02,14.33,0.01,4.48,0.01
58183.61,21.00,43.44,0.02,14.33,0.01,4.48,0.01
58186.67,24.00,43.41,0.02,14.32,0.01,4.48,0.01
58190.75,28.00,43.38,0.02,14.31,0.02,4.47,0.01
58193.82,31.00,43.35,0.02,14.30,0.02,4.47,0.01
58199.94,37.00,43.31,0.02,14.27,0.01,4.48,0.01
58200.96,38.00,43.30,0.02,14.27,0.01,4.48,0.01
58204.02,41.00,43.28,0.02,14.26,0.01,4.48,0.01
58207.08,44.00,43.26,0.02,14.24,0.01,4.48,0.01
58210.14,47.00,43.24,0.02,14.23,0.01,4.48,0.01
58213.21,50.00,43.22,0.02,14.22,0.01,4.48,0.01
58216.27,53.00,43.21,0.02,14.21,0.01,4.48,0.01
58219.33,56.00,43.19,0.02,14.20,0.01,4.49,0.01
58222.39,59.00,43.18,0.02,14.19,0.02,4.49,0.01
58224.43,61.00,43.17,0.02,14.18,0.02,4.49,0.01
58225.45,62.00,43.16,0.02,14.18,0.02,4.49,0.01
58228.52,65.00,43.15,0.02,14.16,0.01,4.49,0.01
58230.56,67.00,43.14,0.02,14.16,0.01,4.49,0.01
58231.58,68.00,43.13,0.02,14.15,0.01,4.49,0.01
58236.68,73.00,43.11,0.02,14.13,0.01,4.50,0.01
58239.74,76.00,43.10,0.02,14.12,0.01,4.50,0.01
58242.80,79.00,43.09,0.02,14.11,0.01,4.50,0.01
58245.87,82.00,43.07,0.02,14.10,0.02,4.51,0.01
58247.91,84.00,43.07,0.02,14.09,0.02,4.51,0.01
58248.93,85.00,43.06,0.02,14.09,0.02,4.51,0.01
58251.99,88.00,43.05,0.02,14.08,0.02,4.51,0.01
58258.11,94.00,43.03,0.02,14.04,0.02,4.53,0.01
58260.15,96.00,43.02,0.02,14.02,0.02,4.53,0.01
58270.36,106.00,42.99,0.02,13.94,0.01,4.56,0.01
58273.42,109.00,42.98,0.02,13.92,0.01,4.57,0.01
58276.48,112.00,42.97,0.02,13.90,0.01,4.58,0.01
58279.54,115.00,42.97,0.02,13.87,0.01,4.59,0.01
