MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
66518.27,-15.01,43.73,0.18,14.66,0.07,4.39,0.06
66525.10,-9.01,43.97,0.13,14.80,0.05,4.38,0.05
66534.20,-1.01,44.00,0.12,14.84,0.05,4.37,0.05
66536.48,0.99,44.00,0.12,14.84,0.06,4.37,0.06
66539.89,3.99,43.99,0.11,14.84,0.05,4.36,0.05
66542.17,5.99,43.99,0.11,14.85,0.05,4.36,0.05
66549.00,11.99,43.97,0.10,14.86,0.05,4.35,0.05
66551.27,13.99,43.97,0.10,14.87,0.05,4.34,0.05
66555.83,17.99,43.96,0.10,14.88,0.05,4.34,0.05
66559.24,20.99,43.96,0.09,14.89,0.05,4.33,0.05
66563.79,24.99,43.95,0.09,14.90,0.05,4.33,0.05
66577.45,36.99,43.93,0.08,14.87,0.04,4.33,0.04
66591.10,48.99,43.90,0.08,14.80,0.04,4.36,0.04
66607.04,62.99,43.87,0.08,14.74,0.05,4.38,0.04
66610.45,65.99,43.87,0.08,14.74,0.05,4.38,0.04
66641.18,92.99,43.82,0.09,14.74,0.18,4.37,0.10
