MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
61583.42,-19.95,44.22,0.14,14.35,0.06,4.67,0.05
61593.93,-9.95,44.58,0.09,14.57,0.04,4.64,0.04
61602.34,-1.95,44.54,0.08,14.59,0.03,4.63,0.03
61607.60,3.05,44.49,0.07,14.58,0.03,4.62,0.03
61617.06,12.05,44.39,0.05,14.56,0.02,4.60,0.02
61618.11,13.05,44.38,0.05,14.56,0.02,4.60,0.02
61619.16,14.05,44.37,0.05,14.56,0.02,4.60,0.02
61620.21,15.05,44.36,0.05,14.56,0.02,4.60,0.02
61623.36,18.05,44.33,0.05,14.55,0.02,4.59,0.02
61624.41,19.05,44.32,0.05,14.55,0.02,4.59,0.02
61627.57,22.05,44.30,0.04,14.55,0.02,4.59,0.02
61628.62,23.05,44.29,0.04,14.55,0.02,4.59,0.02
61630.72,25.05,44.27,0.04,14.55,0.02,4.58,0.02
61632.82,27.05,44.26,0.04,14.54,0.02,4.58,0.02
61633.88,28.05,44.25,0.04,14.54,0.02,4.58,0.02
61634.93,29.05,44.24,0.04,14.54,0.02,4.58,0.02
61637.03,31.05,44.22,0.04,14.54,0.02,4.57,0.02
61638.08,32.05,44.22,0.04,14.53,0.02,4.57,0.02
61640.18,34.05,44.20,0.04,14.52,0.02,4.58,0.02
61641.23,35.05,44.19,0.04,14.52,0.02,4.58,0.02
61643.34,37.05,44.18,0.04,14.51,0.02,4.58,0.02
61645.44,39.05,44.16,0.03,14.50,0.02,4.58,0.02
61647.54,41.05,44.15,0.03,14.49,0.02,4.58,0.02
61649.64,43.05,44.13,0.03,14.48,0.02,4.58,0.02
61650.69,44.05,44.13,0.03,14.48,0.02,4.58,0.02
61653.85,47.05,44.11,0.03,14.46,0.02,4.58,0.02
61654.90,48.05,44.10,0.03,14.46,0.02,4.58,0.02
61658.05,51.05,44.08,0.03,14.45,0.02,4.58,0.02
61661.21,54.05,44.06,0.03,14.44,0.02,4.58,0.02
61663.31,56.05,44.05,0.03,14.43,0.02,4.59,0.02
61664.36,57.05,44.04,0.03,14.42,0.02,4.59,0.02
61666.46,59.05,44.03,0.03,14.41,0.02,4.59,0.02
61668.56,61.05,44.01,0.03,14.41,0.02,4.59,0.02
61674.87,67.05,43.98,0.04,14.38,0.02,4.59,0.02
61675.92,68.05,43.97,0.04,14.37,0.02,4.59,0.02
61676.97,69.05,43.96,0.04,14.37,0.02,4.59,0.02
61681.18,73.05,43.94,0.04,14.35,0.02,4.60,0.02
61688.54,80.05,43.90,0.04,14.32,0.02,4.60,0.02
61691.69,83.05,43.89,0.04,14.30,0.02,4.61,0.02
61692.74,84.05,43.88,0.04,14.30,0.02,4.61,0.02
61693.79,85.05,43.87,0.04,14.29,0.02,4.61,0.02
61694.84,86.05,43.87,0.04,14.29,0.02,4.61,0.02
61695.90,87.05,43.86,0.04,14.28,0.02,4.61,0.02
61700.10,91.05,43.84,0.05,14.27,0.03,4.61,0.02
61704.31,95.05,43.82,0.05,14.26,0.02,4.61,0.02
61707.46,98.05,43.81,0.05,14.25,0.03,4.61,0.02
61709.56,100.05,43.80,0.05,14.25,0.03,4.61,0.02
61712.72,103.05,43.78,0.05,14.25,0.03,4.61,0.03
61713.77,104.05,43.78,0.05,14.25,0.03,4.61,0.03
61743.20,132.05,43.66,0.06,14.17,0.05,4.62,0.03
61761.07,149.05,43.59,0.07,14.09,0.04,4.64,0.04
61767.38,155.05,43.57,0.07,14.08,0.04,4.64,0.04
61771.58,159.05,43.56,0.07,14.07,0.04,4.64,0.04
61776.84,164.05,43.54,0.08,14.07,0.05,4.64,0.04
61787.35,174.05,43.51,0.08,14.06,0.06,4.64,0.05
61792.61,179.05,43.49,0.08,14.05,0.07,4.63,0.05
61817.84,203.05,43.42,0.09,14.05,0.07,4.61,0.05
