MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
62931.63,-16.85,42.99,0.15,14.41,0.07,4.33,0.07
62933.78,-14.85,43.26,0.13,14.53,0.06,4.34,0.06
62934.86,-13.85,43.38,0.12,14.57,0.06,4.35,0.06
62935.93,-12.85,43.49,0.12,14.62,0.05,4.35,0.05
62937.00,-11.85,43.60,0.11,14.66,0.05,4.36,0.05
62938.08,-10.85,43.69,0.10,14.69,0.04,4.36,0.05
62939.15,-9.85,43.78,0.09,14.72,0.04,4.37,0.04
62942.37,-6.85,43.99,0.07,14.79,0.02,4.39,0.03
62943.45,-5.85,44.05,0.06,14.80,0.02,4.40,0.03
62944.52,-4.85,44.09,0.06,14.81,0.02,4.40,0.02
62945.60,-3.85,44.12,0.05,14.82,0.01,4.41,0.02
62949.73,0.00,44.17,0.03,14.79,0.01,4.43,0.01
62953.11,3.15,44.12,0.03,14.80,0.01,4.42,0.01
62954.19,4.15,44.11,0.03,14.80,0.01,4.41,0.01
62956.34,6.15,44.07,0.02,14.80,0.01,4.41,0.01
62958.48,8.15,44.04,0.02,14.80,0.01,4.40,0.01
62959.56,9.15,44.03,0.02,14.81,0.01,4.39,0.01
62962.78,12.15,43.98,0.02,14.81,0.01,4.38,0.01
62964.93,14.15,43.95,0.01,14.81,0.01,4.37,0.01
62966.00,15.15,43.94,0.01,14.82,0.01,4.36,0.01
62967.08,16.15,43.93,0.01,14.82,0.01,4.36,0.01
62969.22,18.15,43.90,0.01,14.82,0.01,4.35,0.01
62971.37,20.15,43.88,0.01,14.83,0.01,4.34,0.01
62972.45,21.15,43.86,0.01,14.83,0.01,4.34,0.01
62973.52,22.15,43.85,0.01,14.84,0.01,4.33,0.01
62974.59,23.15,43.84,0.01,14.84,0.01,4.33,0.01
62975.67,24.15,43.83,0.01,14.84,0.01,4.32,0.01
62976.74,25.15,43.82,0.01,14.85,0.01,4.32,0.01
62977.82,26.15,43.81,0.01,14.85,0.01,4.31,0.01
62978.89,27.15,43.80,0.01,14.85,0.01,4.31,0.01
62979.96,28.15,43.79,0.01,14.86,0.01,4.31,0.01
62981.04,29.15,43.77,0.01,14.86,0.01,4.30,0.01
62982.11,30.15,43.76,0.01,14.86,0.01,4.30,0.01
62983.19,31.15,43.75,0.01,14.85,0.01,4.30,0.01
62984.26,32.15,43.74,0.01,14.84,0.01,4.30,0.01
62985.33,33.15,43.73,0.01,14.83,0.01,4.31,0.01
62986.41,34.15,43.72,0.01,14.82,0.01,4.31,0.01
62987.48,35.15,43.71,0.01,14.81,0.01,4.31,0.01
62988.56,36.15,43.70,0.01,14.80,0.01,4.31,0.01
62989.63,37.15,43.69,0.01,14.79,0.01,4.32,0.01
62990.70,38.15,43.68,0.01,14.78,0.01,4.32,0.01
62991.78,39.15,43.68,0.01,14.77,0.01,4.32,0.01
62992.85,40.15,43.67,0.01,14.76,0.01,4.33,0.01
62995.00,42.15,43.65,0.01,14.73,0.01,4.33,0.01
62997.15,44.15,43.63,0.01,14.71,0.01,4.34,0.01
63000.37,47.15,43.60,0.01,14.68,0.01,4.35,0.01
63004.67,51.15,43.57,0.01,14.65,0.01,4.36,0.01
63006.81,53.15,43.55,0.02,14.63,0.02,4.36,0.01
63007.89,54.15,43.55,0.02,14.62,0.02,4.37,0.01
63011.11,57.15,43.52,0.02,14.59,0.02,4.37,0.01
63012.18,58.15,43.51,0.02,14.58,0.02,4.38,0.01
63013.26,59.15,43.51,0.02,14.57,0.02,4.38,0.01
63016.48,62.15,43.49,0.02,14.54,0.02,4.39,0.01
63017.55,63.15,43.48,0.02,14.53,0.02,4.39,0.01
63019.70,65.15,43.46,0.02,14.51,0.02,4.39,0.01
63021.85,67.15,43.45,0.02,14.50,0.02,4.40,0.01
63022.92,68.15,43.44,0.02,14.49,0.02,4.40,0.01
63026.15,71.15,43.42,0.02,14.46,0.02,4.41,0.02
63027.22,72.15,43.42,0.02,14.46,0.02,4.41,0.02
63029.37,74.15,43.40,0.02,14.44,0.02,4.42,0.02
63031.52,76.15,43.39,0.02,14.42,0.03,4.42,0.02
63033.66,78.15,43.38,0.02,14.41,0.03,4.43,0.02
63035.81,80.15,43.37,0.02,14.39,0.03,4.43,0.02
63040.11,84.15,43.34,0.02,14.36,0.03,4.44,0.02
63054.07,97.15,43.27,0.03,14.31,0.05,4.45,0.03
63055.14,98.15,43.26,0.03,14.31,0.05,4.45,0.03
63058.37,101.15,43.25,0.03,14.31,0.06,4.44,0.03
63061.59,104.15,43.23,0.03,14.31,0.07,4.44,0.04
63066.96,109.15,43.21,0.03,14.31,0.09,4.43,0.05
