MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
67353.68,-33.35,42.67,0.12,14.55,0.08,4.18,0.06
67357.12,-30.35,42.90,0.11,14.67,0.08,4.18,0.06
67358.27,-29.35,42.97,0.11,14.70,0.08,4.18,0.06
67360.57,-27.35,43.11,0.11,14.74,0.07,4.20,0.06
67369.75,-19.35,43.56,0.10,14.86,0.06,4.24,0.05
67372.05,-17.35,43.65,0.10,14.89,0.05,4.26,0.05
67373.19,-16.35,43.70,0.10,14.90,0.05,4.26,0.05
67378.93,-11.35,43.89,0.10,14.93,0.05,4.30,0.05
67382.38,-8.35,43.98,0.10,14.93,0.05,4.32,0.05
67385.82,-5.35,44.05,0.10,14.92,0.05,4.34,0.05
67386.97,-4.35,44.07,0.10,14.92,0.05,4.34,0.05
67388.12,-3.35,44.08,0.10,14.92,0.05,4.35,0.05
67393.86,1.65,44.13,0.10,14.90,0.05,4.37,0.05
67395.01,2.65,44.13,0.10,14.91,0.04,4.37,0.05
67396.15,3.65,44.13,0.10,14.91,0.04,4.36,0.04
67397.30,4.65,44.11,0.10,14.89,0.04,4.36,0.04
67398.45,5.65,44.07,0.10,14.88,0.04,4.36,0.04
67399.60,6.65,44.03,0.09,14.86,0.04,4.36,0.04
67400.75,7.65,44.00,0.09,14.85,0.04,4.36,0.04
67401.89,8.65,43.96,0.08,14.83,0.03,4.36,0.04
67403.04,9.65,43.92,0.08,14.81,0.03,4.36,0.03
67404.19,10.65,43.88,0.07,14.80,0.03,4.36,0.03
67405.34,11.65,43.85,0.07,14.78,0.03,4.36,0.03
67407.63,13.65,43.78,0.06,14.75,0.03,4.36,0.03
67408.78,14.65,43.75,0.06,14.74,0.03,4.35,0.03
67409.93,15.65,43.72,0.06,14.73,0.03,4.35,0.03
67420.26,24.65,43.46,0.04,14.62,0.04,4.34,0.03
67431.74,34.65,43.23,0.05,14.47,0.06,4.36,0.04
67438.63,40.65,43.10,0.06,14.37,0.09,4.38,0.05
