MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
63373.73,-5.69,42.69,0.09,14.69,0.05,4.11,0.03
63378.06,-1.69,43.23,0.05,14.97,0.05,4.11,0.03
63383.46,3.31,43.21,0.04,14.98,0.06,4.10,0.03
63398.60,17.31,43.14,0.02,14.99,0.03,4.08,0.02
63401.84,20.31,43.12,0.02,14.99,0.03,4.07,0.02
63404.01,22.31,43.11,0.02,14.99,0.03,4.07,0.02
63405.09,23.31,43.11,0.02,15.00,0.03,4.07,0.02
63407.25,25.31,43.10,0.02,15.00,0.03,4.06,0.02
63411.58,29.31,43.08,0.02,15.00,0.03,4.05,0.02
63414.82,32.31,43.07,0.02,15.00,0.03,4.05,0.02
63418.06,35.31,43.06,0.02,14.99,0.03,4.06,0.02
63419.15,36.31,43.05,0.02,14.98,0.03,4.06,0.02
63423.47,40.31,43.04,0.02,14.97,0.04,4.06,0.02
63427.80,44.31,43.03,0.02,14.96,0.05,4.06,0.03
63433.20,49.31,43.01,0.03,14.95,0.07,4.06,0.04
63560.80,167.31,42.74,0.10,14.62,0.14,4.16,0.06
