MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
63804.77,-25.62,43.79,0.21,14.32,0.06,4.58,0.07
63810.23,-20.62,44.07,0.15,14.45,0.05,4.59,0.06
63812.41,-18.62,44.15,0.14,14.49,0.04,4.58,0.05
63814.59,-16.62,44.23,0.13,14.53,0.04,4.59,0.05
63816.77,-14.62,44.31,0.12,14.56,0.04,4.58,0.05
63817.87,-13.62,44.34,0.12,14.58,0.04,4.58,0.05
63820.05,-11.62,44.39,0.11,14.60,0.04,4.58,0.04
63829.87,-2.62,44.52,0.11,14.67,0.03,4.58,0.04
63832.05,-0.62,44.53,0.12,14.67,0.03,4.58,0.05
63832.73,0.00,44.54,0.12,14.66,0.04,4.58,0.05
63834.23,1.38,44.53,0.12,14.66,0.03,4.58,0.04
63835.32,2.38,44.52,0.11,14.66,0.03,4.58,0.04
63846.23,12.38,44.40,0.07,14.61,0.03,4.58,0.03
63848.41,14.38,44.38,0.07,14.60,0.03,4.58,0.03
63849.50,15.38,44.37,0.06,14.60,0.03,4.58,0.03
63850.60,16.38,44.36,0.06,14.60,0.03,4.58,0.03
63858.23,23.38,44.29,0.05,14.57,0.03,4.57,0.03
63864.78,29.38,44.23,0.05,14.55,0.03,4.57,0.03
63865.87,30.38,44.22,0.05,14.54,0.03,4.57,0.03
63868.05,32.38,44.20,0.05,14.53,0.03,4.57,0.03
63870.23,34.38,44.18,0.05,14.52,0.03,4.57,0.03
63871.32,35.38,44.18,0.05,14.51,0.03,4.58,0.03
63875.69,39.38,44.15,0.06,14.49,0.03,4.58,0.03
63880.05,43.38,44.12,0.06,14.46,0.03,4.59,0.03
63884.42,47.38,44.09,0.07,14.43,0.04,4.59,0.03
63885.51,48.38,44.09,0.07,14.43,0.04,4.60,0.03
63890.96,53.38,44.05,0.07,14.40,0.04,4.60,0.04
63896.42,58.38,44.02,0.08,14.37,0.05,4.61,0.04
63905.15,66.38,43.96,0.09,14.32,0.04,4.62,0.04
63911.69,72.38,43.92,0.10,14.29,0.04,4.62,0.04
63922.60,82.38,43.87,0.11,14.23,0.06,4.63,0.05
