MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
61099.71,0.00,44.22,0.02,15.09,0.02,4.29,0.01
61101.81,2.00,44.18,0.01,15.09,0.02,4.29,0.01
61103.90,4.00,44.14,0.01,15.08,0.02,4.28,0.01
61107.03,7.00,44.08,0.01,15.08,0.01,4.27,0.01
61108.08,8.00,44.07,0.01,15.08,0.01,4.27,0.01
61110.17,10.00,44.04,0.01,15.08,0.01,4.26,0.01
61111.22,11.00,44.02,0.01,15.08,0.01,4.25,0.01
61113.31,13.00,43.99,0.01,15.08,0.01,4.25,0.01
61114.35,14.00,43.98,0.01,15.08,0.01,4.24,0.01
61116.45,16.00,43.95,0.01,15.08,0.01,4.24,0.01
61121.67,21.00,43.89,0.01,15.08,0.02,4.22,0.01
61122.72,22.00,43.88,0.01,15.09,0.02,4.21,0.01
61125.86,25.00,43.85,0.01,15.09,0.02,4.20,0.01
61128.99,28.00,43.82,0.01,15.10,0.02,4.19,0.01
61132.13,31.00,43.79,0.01,15.09,0.03,4.19,0.01
61135.27,34.00,43.76,0.01,15.06,0.02,4.20,0.01
61143.63,42.00,43.70,0.00,14.99,0.02,4.22,0.01
61148.86,47.00,43.66,0.00,14.94,0.02,4.23,0.01
61152.00,50.00,43.64,0.00,14.91,0.02,4.24,0.01
61155.14,53.00,43.62,0.00,14.89,0.02,4.25,0.01
61158.27,56.00,43.61,0.00,14.86,0.02,4.26,0.01
61161.41,59.00,43.59,0.00,14.84,0.03,4.26,0.01
61164.55,62.00,43.57,0.00,14.82,0.03,4.27,0.01
61166.64,64.00,43.56,0.00,14.82,0.02,4.27,0.01
61169.78,67.00,43.54,0.00,14.81,0.02,4.27,0.01
61180.23,77.00,43.49,0.01,14.79,0.02,4.26,0.01
61181.28,78.00,43.49,0.01,14.79,0.02,4.26,0.01
61186.51,83.00,43.46,0.01,14.78,0.02,4.26,0.01
61188.60,85.00,43.46,0.01,14.77,0.02,4.26,0.01
61189.65,86.00,43.45,0.01,14.77,0.02,4.26,0.01
61192.78,89.00,43.44,0.01,14.77,0.03,4.26,0.01
61204.29,100.00,43.39,0.01,14.74,0.02,4.26,0.01
61207.42,103.00,43.38,0.01,14.73,0.02,4.26,0.01
61208.47,104.00,43.38,0.01,14.73,0.02,4.26,0.01
61212.65,108.00,43.36,0.01,14.72,0.02,4.27,0.01
61216.84,112.00,43.35,0.01,14.71,0.02,4.27,0.01
61225.20,120.00,43.32,0.01,14.70,0.03,4.27,0.02
61226.25,121.00,43.32,0.01,14.69,0.03,4.27,0.02
61246.12,140.00,43.26,0.01,14.51,0.03,4.35,0.01
61247.16,141.00,43.26,0.01,14.50,0.03,4.35,0.02
61249.25,143.00,43.25,0.01,14.48,0.03,4.36,0.02
61251.34,145.00,43.24,0.01,14.46,0.03,4.37,0.02
61333.96,224.00,43.06,0.02,14.28,0.04,4.41,0.02
61339.19,229.00,43.05,0.02,14.20,0.05,4.45,0.03
