MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
59826.40,-31.51,43.52,0.22,14.36,0.03,4.49,0.05
59834.58,-23.51,43.95,0.12,14.56,0.03,4.50,0.04
59838.67,-19.51,44.11,0.09,14.63,0.03,4.50,0.04
59840.71,-17.51,44.18,0.07,14.66,0.03,4.50,0.03
59841.73,-16.51,44.22,0.07,14.68,0.03,4.50,0.03
59843.78,-14.51,44.28,0.06,14.70,0.03,4.50,0.03
59844.80,-13.51,44.31,0.05,14.71,0.03,4.51,0.03
59846.85,-11.51,44.35,0.04,14.73,0.03,4.51,0.02
59852.98,-5.51,44.45,0.04,14.76,0.02,4.52,0.02
59856.05,-2.51,44.47,0.04,14.77,0.02,4.52,0.02
59857.07,-1.51,44.47,0.04,14.77,0.02,4.52,0.02
59861.16,2.49,44.45,0.03,14.76,0.02,4.52,0.02
59863.20,4.49,44.43,0.03,14.75,0.02,4.52,0.02
59866.27,7.49,44.40,0.03,14.75,0.02,4.51,0.01
59867.29,8.49,44.40,0.03,14.74,0.02,4.51,0.01
59868.31,9.49,44.39,0.03,14.74,0.02,4.51,0.01
59869.33,10.49,44.38,0.03,14.74,0.01,4.51,0.01
59872.40,13.49,44.36,0.03,14.74,0.01,4.51,0.01
59874.44,15.49,44.34,0.03,14.73,0.01,4.51,0.01
59875.47,16.49,44.33,0.02,14.73,0.01,4.50,0.01
59877.51,18.49,44.32,0.02,14.73,0.01,4.50,0.01
59880.58,21.49,44.30,0.02,14.73,0.01,4.50,0.01
59881.60,22.49,44.29,0.02,14.73,0.01,4.50,0.01
59882.62,23.49,44.28,0.02,14.72,0.01,4.50,0.01
59883.64,24.49,44.28,0.02,14.72,0.01,4.49,0.01
59884.67,25.49,44.27,0.02,14.72,0.01,4.49,0.01
59887.73,28.49,44.25,0.02,14.72,0.01,4.49,0.01
59889.78,30.49,44.24,0.02,14.72,0.02,4.49,0.01
59890.80,31.49,44.23,0.02,14.71,0.02,4.49,0.01
59891.82,32.49,44.23,0.02,14.71,0.01,4.49,0.01
59893.87,34.49,44.22,0.02,14.69,0.01,4.49,0.01
59895.91,36.49,44.20,0.02,14.69,0.01,4.49,0.01
59897.96,38.49,44.19,0.02,14.68,0.01,4.50,0.01
59900.00,40.49,44.18,0.02,14.67,0.01,4.50,0.01
59902.04,42.49,44.17,0.02,14.66,0.01,4.50,0.01
59906.13,46.49,44.15,0.02,14.64,0.01,4.51,0.01
59909.20,49.49,44.13,0.02,14.62,0.01,4.51,0.01
59910.22,50.49,44.12,0.02,14.62,0.01,4.51,0.01
59911.24,51.49,44.12,0.02,14.61,0.02,4.51,0.01
59912.27,52.49,44.11,0.02,14.61,0.02,4.51,0.01
59917.38,57.49,44.09,0.02,14.58,0.02,4.52,0.01
59918.40,58.49,44.08,0.02,14.58,0.02,4.52,0.01
59921.47,61.49,44.07,0.02,14.57,0.02,4.52,0.01
59924.53,64.49,44.05,0.02,14.57,0.02,4.51,0.01
59926.58,66.49,44.04,0.02,14.57,0.02,4.51,0.01
59927.60,67.49,44.04,0.02,14.57,0.02,4.51,0.01
59930.67,70.49,44.02,0.03,14.56,0.02,4.51,0.01
59933.73,73.49,44.01,0.03,14.56,0.02,4.51,0.01
59934.75,74.49,44.00,0.03,14.56,0.02,4.51,0.01
59937.82,77.49,43.99,0.03,14.56,0.02,4.51,0.02
59938.84,78.49,43.99,0.03,14.56,0.02,4.51,0.02
60067.64,204.49,43.58,0.06,13.98,0.03,4.69,0.03
60073.77,210.49,43.57,0.06,13.93,0.03,4.71,0.03
60079.91,216.49,43.55,0.06,13.91,0.03,4.72,0.03
60082.97,219.49,43.55,0.06,13.90,0.03,4.72,0.03
60088.08,224.49,43.54,0.06,13.89,0.03,4.73,0.03
60090.13,226.49,43.53,0.06,13.88,0.03,4.73,0.03
60091.15,227.49,43.53,0.06,13.88,0.03,4.73,0.03
60095.24,231.49,43.52,0.06,13.87,0.03,4.73,0.03
60098.31,234.49,43.51,0.06,13.86,0.03,4.73,0.03
60099.33,235.49,43.51,0.06,13.86,0.03,4.73,0.03
60101.37,237.49,43.51,0.06,13.85,0.03,4.73,0.03
60102.40,238.49,43.50,0.06,13.85,0.03,4.73,0.03
60110.57,246.49,43.49,0.06,13.82,0.03,4.74,0.03
60118.75,254.49,43.47,0.07,13.80,0.03,4.76,0.03
60122.84,258.49,43.46,0.07,13.78,0.03,4.76,0.03
