MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
61186.25,0.00,44.08,0.06,14.69,0.03,4.46,0.03
61192.55,6.00,44.00,0.05,14.70,0.02,4.44,0.02
61193.60,7.00,43.99,0.05,14.71,0.02,4.43,0.02
61195.70,9.00,43.97,0.05,14.71,0.02,4.42,0.02
61199.91,13.00,43.92,0.04,14.72,0.02,4.41,0.02
61212.52,25.00,43.80,0.04,14.75,0.03,4.36,0.02
61223.03,35.00,43.71,0.03,14.72,0.03,4.35,0.02
61230.39,42.00,43.65,0.03,14.67,0.04,4.36,0.03
61237.74,49.00,43.59,0.03,14.62,0.05,4.37,0.03
61238.80,50.00,43.59,0.03,14.61,0.05,4.38,0.03
61239.85,51.00,43.58,0.03,14.61,0.05,4.38,0.03
61240.90,52.00,43.57,0.03,14.60,0.06,4.38,0.04
61335.49,142.00,43.08,0.07,14.12,0.10,4.50,0.06
61512.06,310.00,42.54,0.13,14.07,0.16,4.39,0.08
