MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
70792.31,-41.59,43.48,0.07,15.13,0.07,4.09,0.05
70815.34,-22.59,44.31,0.05,15.48,0.05,4.12,0.04
70822.61,-16.59,44.46,0.05,15.50,0.05,4.15,0.03
70873.52,25.41,44.50,0.04,15.46,0.04,4.18,0.03
70884.42,34.41,44.48,0.03,15.44,0.04,4.19,0.03
70897.76,45.41,44.45,0.03,15.37,0.03,4.22,0.02
70902.60,49.41,44.43,0.03,15.34,0.03,4.22,0.02
70918.36,62.41,44.40,0.02,15.27,0.03,4.25,0.02
70930.48,72.41,44.37,0.02,15.26,0.02,4.25,0.01
70931.69,73.41,44.37,0.02,15.26,0.02,4.25,0.01
70932.90,74.41,44.37,0.02,15.26,0.02,4.25,0.01
70935.33,76.41,44.36,0.02,15.26,0.02,4.25,0.01
70938.96,79.41,44.36,0.02,15.25,0.01,4.25,0.01
70945.02,84.41,44.35,0.02,15.25,0.01,4.25,0.01
70949.87,88.41,44.34,0.02,15.25,0.02,4.25,0.01
70953.51,91.41,44.33,0.02,15.25,0.02,4.25,0.01
70959.57,96.41,44.32,0.01,15.24,0.01,4.25,0.01
70960.78,97.41,44.32,0.01,15.24,0.01,4.24,0.01
70964.42,100.41,44.31,0.01,15.24,0.01,4.24,0.01
70965.63,101.41,44.31,0.01,15.24,0.01,4.24,0.01
70966.84,102.41,44.31,0.01,15.24,0.01,4.24,0.01
70969.26,104.41,44.30,0.01,15.24,0.01,4.24,0.01
70971.69,106.41,44.30,0.01,15.24,0.01,4.24,0.01
70972.90,107.41,44.30,0.01,15.24,0.01,4.24,0.01
70974.11,108.41,44.29,0.01,15.24,0.01,4.24,0.01
70975.32,109.41,44.29,0.01,15.24,0.01,4.24,0.01
70976.54,110.41,44.29,0.01,15.24,0.01,4.24,0.01
70977.75,111.41,44.29,0.01,15.24,0.01,4.24,0.01
70978.96,112.41,44.29,0.01,15.24,0.01,4.24,0.01
70980.17,113.41,44.28,0.01,15.24,0.01,4.24,0.01
