MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
67593.82,-21.20,42.86,0.17,14.23,0.08,4.39,0.06
67599.58,-16.20,43.39,0.12,14.52,0.05,4.37,0.05
67604.19,-12.20,43.71,0.08,14.70,0.04,4.36,0.04
67606.49,-10.20,43.84,0.07,14.78,0.03,4.36,0.03
67607.65,-9.20,43.89,0.06,14.82,0.03,4.35,0.03
67609.95,-7.20,43.98,0.05,14.88,0.02,4.34,0.02
67612.25,-5.20,44.06,0.04,14.92,0.02,4.34,0.02
67613.41,-4.20,44.08,0.04,14.94,0.02,4.34,0.02
67614.56,-3.20,44.10,0.03,14.96,0.02,4.33,0.02
67615.71,-2.20,44.12,0.03,14.97,0.02,4.33,0.01
67616.86,-1.20,44.12,0.03,14.98,0.02,4.33,0.01
67618.24,0.00,44.13,0.03,14.99,0.02,4.32,0.01
67619.17,0.80,44.13,0.03,14.99,0.02,4.33,0.01
67620.32,1.80,44.13,0.03,14.98,0.02,4.33,0.01
67621.47,2.80,44.13,0.03,14.97,0.02,4.33,0.01
67622.62,3.80,44.13,0.03,14.96,0.02,4.34,0.01
67623.77,4.80,44.13,0.03,14.95,0.01,4.34,0.01
67624.93,5.80,44.13,0.03,14.94,0.01,4.35,0.01
67626.08,6.80,44.13,0.03,14.93,0.01,4.35,0.01
67627.23,7.80,44.13,0.03,14.93,0.01,4.36,0.01
67628.38,8.80,44.13,0.03,14.92,0.01,4.36,0.01
67629.53,9.80,44.13,0.03,14.91,0.01,4.36,0.01
67630.69,10.80,44.12,0.03,14.90,0.01,4.37,0.01
67631.84,11.80,44.12,0.03,14.89,0.01,4.37,0.01
67632.99,12.80,44.12,0.03,14.88,0.01,4.38,0.01
67634.14,13.80,44.12,0.02,14.87,0.01,4.38,0.01
67636.45,15.80,44.12,0.02,14.86,0.01,4.39,0.01
67637.60,16.80,44.12,0.02,14.85,0.01,4.39,0.01
67638.75,17.80,44.12,0.02,14.84,0.01,4.40,0.01
67639.90,18.80,44.12,0.02,14.83,0.01,4.40,0.01
67641.05,19.80,44.12,0.02,14.82,0.01,4.41,0.01
67642.21,20.80,44.12,0.02,14.81,0.01,4.41,0.01
67643.36,21.80,44.12,0.02,14.81,0.01,4.41,0.01
67644.51,22.80,44.12,0.02,14.80,0.01,4.42,0.01
67645.66,23.80,44.12,0.02,14.79,0.01,4.42,0.01
67646.81,24.80,44.12,0.02,14.78,0.01,4.43,0.01
67647.97,25.80,44.12,0.02,14.77,0.01,4.43,0.01
67649.12,26.80,44.12,0.02,14.76,0.01,4.43,0.01
67650.27,27.80,44.12,0.02,14.76,0.01,4.44,0.01
67651.42,28.80,44.12,0.02,14.75,0.01,4.44,0.01
67652.57,29.80,44.12,0.02,14.74,0.01,4.45,0.01
67653.73,30.80,44.12,0.02,14.73,0.01,4.45,0.01
67654.88,31.80,44.12,0.02,14.73,0.01,4.45,0.01
67656.03,32.80,44.12,0.02,14.72,0.01,4.46,0.01
67657.18,33.80,44.12,0.02,14.71,0.01,4.46,0.01
67658.33,34.80,44.12,0.02,14.71,0.01,4.46,0.01
67659.49,35.80,44.11,0.02,14.70,0.02,4.46,0.01
67660.64,36.80,44.11,0.02,14.69,0.02,4.47,0.01
67661.79,37.80,44.11,0.02,14.69,0.02,4.47,0.01
67662.94,38.80,44.11,0.02,14.68,0.02,4.47,0.01
67664.09,39.80,44.11,0.02,14.67,0.02,4.48,0.01
67665.25,40.80,44.11,0.02,14.67,0.02,4.48,0.01
67667.55,42.80,44.11,0.02,14.65,0.02,4.49,0.02
67668.70,43.80,44.11,0.02,14.65,0.02,4.49,0.02
67669.85,44.80,44.11,0.02,14.64,0.02,4.49,0.02
67671.01,45.80,44.11,0.02,14.64,0.03,4.50,0.02
