MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
59632.96,-17.52,42.15,0.08,14.05,0.04,4.30,0.04
59633.98,-16.52,42.31,0.08,14.13,0.04,4.30,0.03
59636.01,-14.52,42.61,0.06,14.27,0.03,4.30,0.03
59637.02,-13.52,42.75,0.06,14.34,0.03,4.31,0.03
59638.04,-12.52,42.87,0.05,14.40,0.03,4.31,0.03
59639.05,-11.52,42.99,0.04,14.45,0.03,4.31,0.02
59640.07,-10.52,43.09,0.04,14.50,0.03,4.31,0.02
59643.11,-7.52,43.35,0.03,14.62,0.02,4.32,0.02
59644.13,-6.52,43.41,0.03,14.64,0.02,4.32,0.02
59645.14,-5.52,43.46,0.03,14.67,0.02,4.32,0.01
59646.16,-4.52,43.51,0.02,14.68,0.02,4.32,0.01
59647.18,-3.52,43.54,0.02,14.70,0.02,4.32,0.01
59648.19,-2.52,43.56,0.02,14.71,0.02,4.33,0.01
59649.21,-1.52,43.58,0.02,14.71,0.02,4.33,0.02
59650.22,-0.52,43.57,0.03,14.71,0.02,4.33,0.02
59650.75,0.00,43.56,0.03,14.70,0.02,4.33,0.02
59653.27,2.48,43.48,0.03,14.68,0.02,4.32,0.02
59654.28,3.48,43.45,0.03,14.67,0.02,4.31,0.01
59656.31,5.48,43.39,0.02,14.66,0.02,4.30,0.01
59658.34,7.48,43.33,0.02,14.65,0.02,4.30,0.01
59659.36,8.48,43.31,0.02,14.65,0.02,4.29,0.01
59660.37,9.48,43.28,0.02,14.64,0.02,4.29,0.01
59661.39,10.48,43.26,0.02,14.64,0.02,4.28,0.01
59662.40,11.48,43.23,0.02,14.64,0.02,4.28,0.01
59665.45,14.48,43.17,0.02,14.63,0.02,4.26,0.01
59668.49,17.48,43.10,0.01,14.62,0.02,4.25,0.01
59669.51,18.48,43.08,0.01,14.62,0.02,4.25,0.01
59671.54,20.48,43.04,0.01,14.62,0.02,4.24,0.01
59674.58,23.48,42.99,0.01,14.62,0.02,4.22,0.01
59677.63,26.48,42.94,0.01,14.62,0.02,4.21,0.01
59680.67,29.48,42.89,0.01,14.62,0.03,4.20,0.01
59683.72,32.48,42.84,0.01,14.59,0.02,4.20,0.01
59686.76,35.48,42.80,0.01,14.55,0.02,4.21,0.01
59687.78,36.48,42.78,0.01,14.54,0.02,4.21,0.01
59689.81,38.48,42.75,0.01,14.52,0.02,4.22,0.01
59690.82,39.48,42.74,0.01,14.51,0.02,4.22,0.01
59692.85,41.48,42.71,0.01,14.48,0.02,4.22,0.01
59693.87,42.48,42.70,0.01,14.47,0.02,4.23,0.01
59696.92,45.48,42.66,0.01,14.44,0.02,4.23,0.01
59699.96,48.48,42.63,0.01,14.40,0.03,4.24,0.01
59703.01,51.48,42.59,0.02,14.37,0.03,4.25,0.02
59707.07,55.48,42.54,0.02,14.33,0.04,4.26,0.02
59708.08,56.48,42.53,0.02,14.32,0.04,4.26,0.02
59713.16,61.48,42.48,0.02,14.28,0.04,4.27,0.02
59714.17,62.48,42.47,0.02,14.28,0.03,4.27,0.02
59717.22,65.48,42.44,0.02,14.27,0.03,4.26,0.02
59720.26,68.48,42.41,0.02,14.28,0.03,4.25,0.02
59724.32,72.48,42.37,0.02,14.28,0.04,4.24,0.02
59735.49,83.48,42.28,0.03,14.28,0.10,4.22,0.05
59742.59,90.48,42.22,0.03,14.27,0.13,4.21,0.06
59749.70,97.48,42.17,0.03,14.17,0.12,4.24,0.06
59754.78,102.48,42.13,0.03,14.10,0.12,4.27,0.06
