MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
62287.10,-23.20,42.17,0.12,14.42,0.07,4.12,0.06
62289.25,-21.20,42.44,0.10,14.55,0.06,4.12,0.05
62291.39,-19.20,42.69,0.08,14.66,0.06,4.13,0.05
62296.74,-14.20,43.22,0.06,14.89,0.05,4.14,0.04
62297.81,-13.20,43.30,0.06,14.93,0.05,4.14,0.04
62298.88,-12.20,43.38,0.05,14.97,0.05,4.15,0.03
62301.03,-10.20,43.52,0.05,15.03,0.05,4.15,0.03
62312.81,0.80,43.90,0.05,15.17,0.04,4.18,0.03
62313.88,1.80,43.89,0.05,15.16,0.04,4.18,0.03
62321.38,8.80,43.80,0.03,15.15,0.03,4.16,0.02
62335.30,21.80,43.67,0.01,15.13,0.01,4.14,0.01
62339.58,25.80,43.64,0.01,15.13,0.02,4.13,0.01
62341.72,27.80,43.62,0.01,15.13,0.02,4.13,0.01
62343.87,29.80,43.61,0.01,15.13,0.02,4.12,0.01
62346.01,31.80,43.59,0.01,15.12,0.02,4.12,0.01
62352.43,37.80,43.56,0.01,15.11,0.01,4.12,0.01
62353.51,38.80,43.55,0.01,15.11,0.01,4.12,0.01
62354.58,39.80,43.54,0.01,15.11,0.01,4.12,0.01
62357.79,42.80,43.53,0.01,15.10,0.01,4.12,0.01
62358.86,43.80,43.52,0.01,15.10,0.01,4.12,0.01
62359.93,44.80,43.52,0.01,15.09,0.02,4.12,0.01
62363.14,47.80,43.50,0.01,15.09,0.02,4.12,0.01
62365.29,49.80,43.49,0.01,15.09,0.02,4.12,0.01
62368.50,52.80,43.48,0.01,15.08,0.02,4.11,0.01
62370.64,54.80,43.47,0.01,15.08,0.03,4.11,0.01
62372.78,56.80,43.46,0.01,15.08,0.03,4.11,0.01
62373.85,57.80,43.45,0.01,15.07,0.03,4.11,0.01
62380.28,63.80,43.43,0.01,14.99,0.03,4.15,0.01
62383.49,66.80,43.42,0.01,14.93,0.03,4.17,0.01
62386.71,69.80,43.41,0.01,14.87,0.03,4.20,0.01
62392.06,74.80,43.39,0.01,14.77,0.03,4.25,0.02
62395.27,77.80,43.38,0.01,14.71,0.04,4.27,0.02
62398.49,80.80,43.37,0.01,14.65,0.04,4.30,0.02
62512.01,186.80,43.12,0.01,14.52,0.07,4.31,0.04
62513.08,187.80,43.12,0.01,14.52,0.07,4.31,0.03
62527.01,200.80,43.10,0.02,14.45,0.04,4.34,0.02
62528.08,201.80,43.10,0.02,14.44,0.04,4.34,0.02
62534.50,207.80,43.09,0.02,14.40,0.04,4.36,0.02
62542.00,214.80,43.08,0.02,14.39,0.04,4.36,0.02
62548.43,220.80,43.07,0.02,14.38,0.03,4.36,0.02
62554.85,226.80,43.06,0.02,14.38,0.04,4.36,0.02
62562.35,233.80,43.05,0.02,14.37,0.05,4.36,0.03
62569.85,240.80,43.04,0.02,14.37,0.06,4.36,0.03
62576.27,246.80,43.04,0.02,14.38,0.05,4.36,0.03
62583.77,253.80,43.03,0.02,14.38,0.06,4.35,0.03
62696.23,358.80,42.92,0.03,14.23,0.11,4.40,0.06
62727.28,387.80,42.89,0.03,14.62,0.09,4.20,0.04
62757.27,415.80,42.87,0.03,14.78,0.09,4.11,0.04
