MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
64727.09,-51.97,42.70,0.14,13.98,0.04,4.48,0.03
64730.60,-48.97,42.90,0.13,14.07,0.03,4.48,0.03
64732.94,-46.97,43.02,0.12,14.13,0.03,4.48,0.03
64742.29,-38.97,43.45,0.09,14.35,0.03,4.48,0.03
64743.46,-37.97,43.50,0.09,14.37,0.03,4.48,0.03
64744.63,-36.97,43.55,0.08,14.40,0.03,4.48,0.03
64746.97,-34.97,43.65,0.08,14.44,0.03,4.48,0.03
64748.14,-33.97,43.70,0.08,14.47,0.03,4.48,0.03
64756.33,-26.97,43.98,0.06,14.60,0.03,4.48,0.03
64757.50,-25.97,44.02,0.06,14.61,0.03,4.48,0.03
64758.67,-24.97,44.05,0.06,14.62,0.03,4.49,0.03
64759.84,-23.97,44.09,0.06,14.64,0.03,4.49,0.03
64761.01,-22.97,44.12,0.06,14.65,0.02,4.49,0.03
64762.18,-21.97,44.15,0.06,14.66,0.02,4.49,0.03
64763.35,-20.97,44.18,0.06,14.67,0.02,4.50,0.03
64765.68,-18.97,44.24,0.06,14.69,0.02,4.50,0.02
64771.53,-13.97,44.37,0.06,14.74,0.02,4.51,0.03
64772.70,-12.97,44.39,0.06,14.74,0.02,4.51,0.03
64773.87,-11.97,44.41,0.06,14.75,0.02,4.51,0.03
64784.40,-2.97,44.55,0.07,14.78,0.04,4.53,0.03
64800.77,11.03,44.39,0.08,14.76,0.02,4.51,0.03
64801.94,12.03,44.36,0.08,14.75,0.02,4.51,0.03
64803.11,13.03,44.34,0.08,14.74,0.02,4.50,0.03
64804.28,14.03,44.31,0.08,14.73,0.02,4.50,0.03
64806.62,16.03,44.27,0.08,14.72,0.02,4.49,0.03
64807.79,17.03,44.25,0.07,14.72,0.02,4.49,0.03
64808.96,18.03,44.23,0.07,14.71,0.02,4.49,0.03
64811.30,20.03,44.20,0.07,14.71,0.02,4.48,0.03
64812.47,21.03,44.18,0.07,14.70,0.02,4.48,0.03
64817.15,25.03,44.13,0.07,14.69,0.03,4.47,0.03
64818.32,26.03,44.11,0.07,14.69,0.03,4.47,0.03
64819.49,27.03,44.10,0.07,14.69,0.03,4.47,0.03
64821.83,29.03,44.08,0.07,14.69,0.03,4.46,0.03
64822.99,30.03,44.06,0.07,14.69,0.03,4.46,0.03
64824.16,31.03,44.05,0.07,14.68,0.03,4.46,0.03
64831.18,37.03,44.00,0.07,14.63,0.03,4.47,0.03
64832.35,38.03,43.99,0.07,14.62,0.03,4.48,0.03
64833.52,39.03,43.98,0.07,14.61,0.03,4.48,0.03
64834.69,40.03,43.97,0.07,14.60,0.03,4.48,0.03
64835.86,41.03,43.96,0.07,14.59,0.03,4.48,0.03
64837.03,42.03,43.95,0.07,14.59,0.03,4.48,0.03
64838.20,43.03,43.95,0.07,14.58,0.03,4.49,0.03
64839.37,44.03,43.94,0.07,14.57,0.03,4.49,0.03
64840.54,45.03,43.93,0.07,14.56,0.03,4.49,0.03
64841.71,46.03,43.92,0.07,14.55,0.03,4.49,0.03
64842.88,47.03,43.92,0.07,14.54,0.03,4.49,0.03
64844.05,48.03,43.91,0.07,14.54,0.03,4.50,0.03
64845.22,49.03,43.90,0.07,14.53,0.03,4.50,0.03
64846.39,50.03,43.90,0.07,14.52,0.03,4.50,0.03
64847.56,51.03,43.89,0.07,14.52,0.03,4.50,0.03
64848.73,52.03,43.88,0.07,14.51,0.03,4.50,0.03
64851.07,54.03,43.87,0.07,14.49,0.03,4.51,0.03
64852.23,55.03,43.86,0.07,14.49,0.03,4.51,0.03
64990.25,173.03,43.48,0.06,14.10,0.07,4.61,0.04
64997.27,179.03,43.47,0.06,14.06,0.08,4.63,0.04
65010.13,190.03,43.45,0.06,14.14,0.09,4.58,0.04
65069.78,241.03,43.37,0.05,14.11,0.07,4.58,0.04
65070.95,242.03,43.37,0.05,14.10,0.07,4.58,0.04
65072.12,243.03,43.37,0.05,14.10,0.06,4.58,0.04
65086.15,255.03,43.36,0.05,14.04,0.05,4.61,0.03
65099.02,266.03,43.34,0.05,14.00,0.07,4.63,0.04
65100.19,267.03,43.34,0.05,13.99,0.07,4.63,0.04
65115.39,280.03,43.33,0.05,13.98,0.06,4.63,0.03
65129.43,292.03,43.31,0.05,13.99,0.07,4.62,0.04
65130.60,293.03,43.31,0.05,13.99,0.08,4.62,0.04
65135.28,297.03,43.31,0.05,13.99,0.09,4.62,0.05
65136.45,298.03,43.30,0.05,13.99,0.10,4.62,0.05
65158.67,317.03,43.28,0.05,13.97,0.09,4.62,0.05
65159.84,318.03,43.28,0.05,13.96,0.09,4.62,0.05
65161.01,319.03,43.28,0.05,13.96,0.09,4.62,0.05
65189.08,343.03,43.26,0.05,13.98,0.09,4.61,0.05
65191.42,345.03,43.25,0.05,13.99,0.09,4.60,0.05
65192.59,346.03,43.25,0.05,14.00,0.09,4.60,0.05
66215.99,1221.03,42.83,0.05,13.88,0.09,4.55,0.05
66979.74,1874.03,42.69,0.05,13.82,0.09,4.55,0.05
