MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
69821.62,-20.18,43.55,0.10,14.98,0.08,4.18,0.06
69826.39,-16.18,43.70,0.08,15.06,0.06,4.18,0.05
69838.32,-6.18,43.94,0.06,15.19,0.04,4.18,0.03
69839.51,-5.18,43.95,0.06,15.20,0.04,4.18,0.03
69840.71,-4.18,43.96,0.06,15.20,0.04,4.17,0.04
69843.09,-2.18,43.97,0.06,15.21,0.04,4.17,0.04
69845.70,0.00,43.97,0.06,15.22,0.05,4.17,0.04
69846.67,0.82,43.97,0.07,15.21,0.05,4.17,0.04
69856.22,8.82,43.94,0.05,15.19,0.03,4.18,0.03
69857.41,9.82,43.93,0.05,15.19,0.03,4.18,0.03
69858.60,10.82,43.93,0.05,15.18,0.03,4.18,0.03
69859.80,11.82,43.92,0.04,15.18,0.03,4.18,0.03
69860.99,12.82,43.92,0.04,15.18,0.03,4.18,0.02
69866.95,17.82,43.90,0.03,15.16,0.02,4.18,0.02
69868.15,18.82,43.89,0.03,15.16,0.02,4.18,0.02
69869.34,19.82,43.89,0.03,15.15,0.02,4.18,0.02
69871.73,21.82,43.88,0.02,15.15,0.02,4.18,0.01
69872.92,22.82,43.88,0.02,15.14,0.02,4.18,0.01
69874.11,23.82,43.87,0.02,15.14,0.01,4.18,0.01
69875.30,24.82,43.87,0.02,15.14,0.01,4.19,0.01
69880.08,28.82,43.85,0.01,15.12,0.01,4.19,0.01
69881.27,29.82,43.85,0.01,15.12,0.01,4.19,0.01
69882.46,30.82,43.84,0.01,15.12,0.01,4.19,0.01
69883.66,31.82,43.84,0.01,15.11,0.01,4.19,0.01
69884.85,32.82,43.83,0.01,15.11,0.01,4.19,0.01
69886.04,33.82,43.83,0.01,15.10,0.01,4.19,0.01
69887.23,34.82,43.83,0.01,15.10,0.01,4.19,0.01
69888.43,35.82,43.82,0.02,15.09,0.01,4.20,0.01
69890.81,37.82,43.81,0.02,15.08,0.01,4.20,0.01
69892.01,38.82,43.81,0.02,15.08,0.01,4.20,0.01
69893.20,39.82,43.81,0.02,15.07,0.01,4.20,0.01
69895.59,41.82,43.80,0.02,15.06,0.02,4.20,0.01
69896.78,42.82,43.79,0.02,15.06,0.02,4.21,0.01
69897.97,43.82,43.79,0.02,15.06,0.02,4.21,0.02
69899.16,44.82,43.79,0.03,15.05,0.02,4.21,0.02
69905.13,49.82,43.77,0.03,15.03,0.03,4.21,0.02
69906.32,50.82,43.76,0.03,15.02,0.03,4.22,0.02
69907.52,51.82,43.76,0.04,15.02,0.03,4.22,0.02
69908.71,52.82,43.76,0.04,15.01,0.03,4.22,0.02
69911.09,54.82,43.75,0.04,15.00,0.03,4.22,0.03
69912.29,55.82,43.75,0.04,15.00,0.04,4.23,0.03
69915.87,58.82,43.74,0.04,14.98,0.04,4.23,0.03
69918.25,60.82,43.73,0.05,14.98,0.04,4.23,0.03
69921.83,63.82,43.72,0.05,14.97,0.04,4.23,0.03
69927.80,68.82,43.70,0.06,14.97,0.04,4.23,0.03
69934.95,74.82,43.68,0.06,14.96,0.06,4.23,0.04
69937.34,76.82,43.68,0.07,14.96,0.06,4.23,0.04
69940.92,79.82,43.67,0.07,14.96,0.07,4.23,0.05
