MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
65555.74,-2.24,43.62,0.09,15.10,0.06,4.14,0.05
65558.25,0.00,43.71,0.08,15.15,0.07,4.14,0.05
65561.33,2.76,43.67,0.07,15.14,0.06,4.13,0.05
65562.44,3.76,43.65,0.07,15.13,0.06,4.13,0.05
65564.68,5.76,43.62,0.06,15.12,0.05,4.13,0.04
65566.91,7.76,43.59,0.06,15.12,0.05,4.13,0.04
65570.26,10.76,43.55,0.05,15.10,0.04,4.12,0.03
65573.61,13.76,43.51,0.04,15.09,0.04,4.12,0.03
65575.85,15.76,43.49,0.04,15.08,0.03,4.12,0.02
65581.43,20.76,43.43,0.03,15.06,0.02,4.11,0.02
65583.67,22.76,43.41,0.02,15.05,0.02,4.11,0.02
65585.90,24.76,43.39,0.02,15.05,0.02,4.11,0.01
65589.25,27.76,43.35,0.02,15.04,0.03,4.11,0.02
65591.49,29.76,43.33,0.02,15.04,0.03,4.10,0.02
65593.72,31.76,43.31,0.02,15.00,0.03,4.11,0.02
65594.84,32.76,43.30,0.02,14.98,0.03,4.12,0.02
65595.95,33.76,43.29,0.02,14.97,0.02,4.13,0.01
65599.30,36.76,43.26,0.02,14.92,0.03,4.14,0.02
65611.59,47.76,43.17,0.03,14.74,0.07,4.21,0.03
65613.83,49.76,43.16,0.03,14.71,0.07,4.22,0.04
