MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
63518.77,-22.81,42.99,0.17,14.27,0.08,4.41,0.08
63522.03,-19.81,43.35,0.16,14.43,0.07,4.41,0.07
63523.12,-18.81,43.46,0.15,14.48,0.06,4.41,0.07
63524.21,-17.81,43.56,0.15,14.52,0.06,4.42,0.06
63525.30,-16.81,43.65,0.14,14.56,0.06,4.42,0.06
63527.47,-14.81,43.82,0.14,14.65,0.05,4.42,0.06
63537.27,-5.81,44.27,0.09,14.86,0.06,4.42,0.05
63563.38,18.19,44.23,0.05,14.87,0.03,4.41,0.02
63565.55,20.19,44.22,0.05,14.87,0.03,4.41,0.02
63568.82,23.19,44.20,0.04,14.87,0.02,4.40,0.02
63572.08,26.19,44.18,0.04,14.87,0.02,4.40,0.02
63574.26,28.19,44.17,0.04,14.87,0.02,4.40,0.02
63575.35,29.19,44.17,0.04,14.87,0.03,4.39,0.02
63577.52,31.19,44.16,0.04,14.86,0.03,4.39,0.02
63580.79,34.19,44.14,0.03,14.85,0.02,4.40,0.02
63587.31,40.19,44.11,0.03,14.83,0.02,4.40,0.02
63589.49,42.19,44.10,0.03,14.82,0.02,4.40,0.01
63591.67,44.19,44.09,0.03,14.82,0.02,4.40,0.01
63596.02,48.19,44.07,0.02,14.80,0.02,4.40,0.01
63597.11,49.19,44.06,0.02,14.80,0.02,4.40,0.01
63599.28,51.19,44.05,0.02,14.79,0.02,4.40,0.01
63601.46,53.19,44.04,0.02,14.78,0.02,4.41,0.01
63603.63,55.19,44.03,0.02,14.78,0.02,4.41,0.01
63609.07,60.19,44.01,0.02,14.76,0.02,4.41,0.01
63611.25,62.19,44.00,0.02,14.76,0.02,4.41,0.01
63613.43,64.19,43.99,0.02,14.76,0.02,4.40,0.01
63614.51,65.19,43.99,0.02,14.76,0.02,4.40,0.01
63619.95,70.19,43.96,0.02,14.76,0.01,4.40,0.01
63621.04,71.19,43.96,0.02,14.76,0.01,4.40,0.01
63623.22,73.19,43.95,0.01,14.76,0.01,4.40,0.01
63625.39,75.19,43.94,0.01,14.76,0.01,4.39,0.01
63626.48,76.19,43.94,0.01,14.76,0.01,4.39,0.01
63629.75,79.19,43.93,0.01,14.76,0.01,4.39,0.01
63633.01,82.19,43.91,0.01,14.75,0.02,4.39,0.01
63634.10,83.19,43.91,0.01,14.75,0.02,4.39,0.01
63640.63,89.19,43.89,0.02,14.75,0.02,4.38,0.01
63641.71,90.19,43.88,0.02,14.75,0.02,4.38,0.01
63642.80,91.19,43.88,0.02,14.75,0.02,4.38,0.01
63647.15,95.19,43.86,0.02,14.73,0.02,4.39,0.01
63648.24,96.19,43.86,0.02,14.72,0.02,4.39,0.01
63653.68,101.19,43.84,0.02,14.70,0.02,4.40,0.01
63674.35,120.19,43.77,0.02,14.59,0.04,4.43,0.02
63678.71,124.19,43.76,0.02,14.61,0.03,4.43,0.02
63680.88,126.19,43.75,0.02,14.61,0.04,4.42,0.02
63783.15,220.19,43.50,0.05,14.51,0.05,4.41,0.03
63786.42,223.19,43.49,0.05,14.51,0.04,4.41,0.03
63788.59,225.19,43.48,0.05,14.51,0.04,4.40,0.03
63795.12,231.19,43.47,0.05,14.50,0.04,4.41,0.03
63800.56,236.19,43.46,0.05,14.49,0.04,4.41,0.03
63806.00,241.19,43.45,0.05,14.49,0.05,4.41,0.03
63809.27,244.19,43.44,0.05,14.49,0.05,4.41,0.03
63812.53,247.19,43.44,0.05,14.48,0.04,4.40,0.03
63817.97,252.19,43.43,0.05,14.48,0.03,4.40,0.03
63824.50,258.19,43.41,0.06,14.47,0.03,4.40,0.03
63827.76,261.19,43.41,0.06,14.47,0.03,4.40,0.03
63831.03,264.19,43.40,0.06,14.47,0.03,4.41,0.03
63834.29,267.19,43.39,0.06,14.46,0.03,4.41,0.03
63837.55,270.19,43.39,0.06,14.46,0.04,4.41,0.03
63839.73,272.19,43.38,0.06,14.44,0.04,4.41,0.03
63842.99,275.19,43.38,0.06,14.43,0.03,4.41,0.03
63846.26,278.19,43.37,0.06,14.42,0.04,4.42,0.03
63849.52,281.19,43.37,0.06,14.40,0.04,4.42,0.03
63858.23,289.19,43.35,0.06,14.36,0.05,4.44,0.04
63863.67,294.19,43.34,0.06,14.34,0.07,4.45,0.04
63873.46,303.19,43.33,0.06,14.30,0.07,4.47,0.05
63875.63,305.19,43.32,0.06,14.30,0.07,4.47,0.05
63877.81,307.19,43.32,0.06,14.30,0.08,4.47,0.05
63888.69,317.19,43.30,0.07,14.28,0.11,4.47,0.07
