MJD,time_since_peak,L_ergs,eL_ergs,R_cm,eR_cm,T_K,eT_K
65587.33,-14.63,43.00,3.06,14.62,1.52,4.23,0.05
65599.66,-3.63,43.82,0.09,15.14,0.06,4.17,0.05
65603.73,0.00,43.84,0.09,15.20,0.06,4.15,0.05
65607.51,3.37,43.82,0.08,15.18,0.05,4.15,0.05
65616.47,11.37,43.75,0.07,15.13,0.05,4.16,0.04
65620.95,15.37,43.71,0.06,15.10,0.04,4.16,0.03
65628.80,22.37,43.65,0.05,15.06,0.04,4.17,0.03
65632.16,25.37,43.63,0.05,15.05,0.04,4.17,0.03
65633.28,26.37,43.62,0.05,15.04,0.04,4.17,0.03
65635.52,28.37,43.61,0.04,15.03,0.04,4.17,0.03
65641.12,33.37,43.57,0.04,14.99,0.03,4.19,0.02
65643.36,35.37,43.56,0.04,14.97,0.03,4.19,0.02
65646.73,38.37,43.54,0.03,14.94,0.03,4.20,0.02
65656.81,47.37,43.48,0.03,14.86,0.03,4.23,0.02
65660.17,50.37,43.46,0.03,14.83,0.03,4.24,0.02
65662.41,52.37,43.45,0.03,14.81,0.03,4.24,0.02
65666.90,56.37,43.42,0.03,14.77,0.03,4.26,0.02
65672.50,61.37,43.39,0.03,14.74,0.03,4.27,0.02
65676.98,65.37,43.37,0.03,14.74,0.03,4.26,0.02
65682.59,70.37,43.35,0.03,14.75,0.05,4.25,0.03
65692.67,79.37,43.30,0.03,14.76,0.08,4.23,0.04
65693.79,80.37,43.30,0.03,14.76,0.09,4.23,0.04
65696.03,82.37,43.29,0.03,14.76,0.10,4.23,0.05
65698.27,84.37,43.28,0.03,14.77,0.10,4.22,0.05
65699.39,85.37,43.27,0.03,14.77,0.11,4.22,0.05
